customerID,gender,senior_citizen,dependents,tenure,contract,internet_service,online_security,tech_support,streaming_tv,monthly_charges,total_charges,payment_method,app_usage_min_per_week,complaint_count_6m,satisfaction_rating,engagement_score,churn,tenure_bucket,monthly_charges_bin,churn_flag
CUST00001,Female,1,No,52,One year,Fiber optic,No,No,Yes,114.0,5932.8,Credit card (automatic),492,0,1,0.551,Yes,49+,Med-High,1
CUST00002,Male,0,Yes,46,Month-to-month,DSL,Yes,No,Yes,137.98,6350.44,Mailed check,497,0,6,0.733,No,25-48,High,0
CUST00003,Male,0,Yes,53,Month-to-month,DSL,Yes,Yes,No,51.29,2721.75,Bank transfer (automatic),358,2,5,0.546,No,49+,Med-Low,0
CUST00004,Female,0,Yes,18,One year,Fiber optic,No,No,Yes,112.47,2025.34,Mailed check,486,0,5,0.686,No,7-24,Med-High,0
CUST00005,Female,0,Yes,42,Month-to-month,Fiber optic,Yes,Yes,Yes,63.84,2718.73,Mailed check,486,4,1,0.451,Yes,25-48,Med-Low,1
CUST00006,Female,0,No,34,One year,No,Yes,No,No,56.12,1942.66,Bank transfer (automatic),482,2,5,0.557,Yes,25-48,Med-Low,1
CUST00007,Male,1,No,27,Month-to-month,Fiber optic,Yes,Yes,No,95.38,2596.7,Mailed check,459,1,3,0.52,No,25-48,Med-High,0
CUST00008,Male,0,Yes,28,One year,Fiber optic,No,No,No,48.98,1378.09,Electronic check,367,2,7,0.686,Yes,25-48,Med-Low,1
CUST00009,Female,0,Yes,10,Month-to-month,DSL,Yes,Yes,No,146.16,1494.52,Electronic check,76,0,7,0.373,No,7-24,High,0
CUST00010,Male,0,Yes,6,One year,Fiber optic,No,No,Yes,145.89,876.55,Credit card (automatic),245,5,7,0.64,Yes,0-6,High,1
CUST00011,Female,0,No,14,Month-to-month,DSL,Yes,Yes,No,112.55,1615.42,Bank transfer (automatic),106,0,7,0.533,Yes,7-24,Med-High,1
CUST00012,Male,0,Yes,61,Month-to-month,No,Yes,No,Yes,44.43,2738.3,Credit card (automatic),262,0,6,0.42,Yes,49+,Low,1
CUST00013,Female,0,Yes,30,One year,Fiber optic,Yes,Yes,Yes,68.83,2067.23,Electronic check,190,0,1,0.136,No,25-48,Med-Low,0
CUST00014,Male,1,No,29,Month-to-month,DSL,No,Yes,Yes,110.62,3239.04,Credit card (automatic),125,0,8,0.572,No,25-48,Med-High,0
CUST00015,Male,0,Yes,13,Month-to-month,DSL,Yes,No,Yes,113.39,1468.74,Electronic check,192,0,5,0.412,No,7-24,Med-High,0
CUST00016,Female,0,Yes,29,Month-to-month,No,No,No,No,21.88,629.85,Credit card (automatic),420,0,6,0.656,Yes,25-48,Low,1
CUST00017,Male,0,Yes,32,Month-to-month,Fiber optic,No,No,Yes,91.63,2977.67,Mailed check,207,0,9,0.679,No,25-48,Med-High,0
CUST00018,Male,1,No,13,Month-to-month,DSL,No,Yes,No,75.43,993.1,Mailed check,77,2,3,0.146,Yes,7-24,Med-Low,1
CUST00019,Male,0,No,36,Month-to-month,DSL,Yes,Yes,No,99.04,3556.32,Credit card (automatic),560,0,3,0.608,No,25-48,Med-High,0
CUST00020,Female,0,No,64,Month-to-month,Fiber optic,No,No,No,128.68,8234.02,Credit card (automatic),502,0,7,0.868,Yes,49+,High,1
CUST00021,Male,0,Yes,12,Month-to-month,Fiber optic,Yes,No,Yes,132.68,1583.93,Mailed check,457,4,7,0.735,Yes,7-24,High,1
CUST00022,Female,1,Yes,9,One year,Fiber optic,No,Yes,Yes,63.18,592.64,Mailed check,570,3,8,0.927,Yes,7-24,Med-Low,1
CUST00023,Female,0,No,33,Month-to-month,Fiber optic,No,No,Yes,27.76,940.93,Credit card (automatic),74,0,5,0.32,No,25-48,Low,0
CUST00024,Male,0,Yes,40,Month-to-month,DSL,Yes,No,No,114.75,4626.56,Credit card (automatic),559,3,3,0.683,Yes,25-48,Med-High,1
CUST00025,Female,0,Yes,47,One year,No,No,Yes,Yes,107.06,5077.14,Bank transfer (automatic),158,2,10,0.636,Yes,25-48,Med-High,1
CUST00026,Male,0,Yes,43,Month-to-month,No,Yes,No,No,74.58,3240.9,Credit card (automatic),151,0,10,0.597,No,25-48,Med-Low,0
CUST00027,Female,0,No,15,Month-to-month,No,Yes,No,Yes,15.01,223.77,Credit card (automatic),409,0,6,0.543,Yes,7-24,Low,1
CUST00028,Female,0,No,21,Month-to-month,DSL,Yes,Yes,Yes,114.62,2405.08,Electronic check,99,0,6,0.404,Yes,7-24,Med-High,1
CUST00029,Male,1,No,14,Month-to-month,Fiber optic,No,Yes,Yes,96.66,1378.63,Mailed check,339,1,4,0.404,Yes,7-24,Med-High,1
CUST00030,Female,0,No,11,Month-to-month,No,Yes,No,No,137.95,1510.79,Bank transfer (automatic),168,0,4,0.309,Yes,7-24,High,1
CUST00031,Male,1,No,16,Month-to-month,Fiber optic,No,Yes,Yes,63.64,1045.67,Mailed check,319,0,1,0.337,No,7-24,Med-Low,0
CUST00032,Female,0,Yes,52,Month-to-month,Fiber optic,Yes,No,Yes,127.23,6628.44,Bank transfer (automatic),406,0,5,0.582,Yes,49+,High,1
CUST00033,Female,1,No,72,Month-to-month,Fiber optic,Yes,No,No,76.37,5523.6,Mailed check,410,0,3,0.566,Yes,49+,Med-Low,1
CUST00034,Male,0,Yes,31,One year,Fiber optic,Yes,Yes,No,82.46,2573.71,Bank transfer (automatic),188,0,8,0.601,No,25-48,Med-High,0
CUST00035,Female,0,No,33,Month-to-month,DSL,Yes,Yes,No,113.65,3755.69,Electronic check,293,0,6,0.51,No,25-48,Med-High,0
CUST00036,Female,0,Yes,70,One year,DSL,No,Yes,Yes,94.83,6673.63,Credit card (automatic),401,1,1,0.301,No,49+,Med-High,0
CUST00037,Male,0,No,24,Two year,No,Yes,Yes,Yes,29.16,719.12,Credit card (automatic),256,0,3,0.293,Yes,7-24,Low,1
CUST00038,Male,0,Yes,16,Month-to-month,Fiber optic,Yes,Yes,Yes,128.91,2106.32,Credit card (automatic),182,0,10,0.689,Yes,7-24,High,1
CUST00039,Male,0,Yes,54,Month-to-month,Fiber optic,Yes,Yes,Yes,148.01,8018.38,Credit card (automatic),68,1,1,0.188,Yes,49+,High,1
CUST00040,Female,0,No,29,Two year,DSL,No,Yes,Yes,59.21,1740.26,Mailed check,279,0,7,0.577,Yes,25-48,Med-Low,1
CUST00041,Female,0,No,71,Two year,DSL,Yes,No,No,100.61,7173.9,Mailed check,79,2,5,0.365,No,49+,Med-High,0
CUST00042,Female,0,No,44,Month-to-month,Fiber optic,Yes,Yes,Yes,137.58,6047.85,Credit card (automatic),496,3,8,0.824,No,25-48,High,0
CUST00043,Female,0,Yes,35,Month-to-month,Fiber optic,Yes,No,Yes,17.84,621.82,Bank transfer (automatic),68,2,1,0.134,No,25-48,Low,0
CUST00044,Female,0,Yes,13,Month-to-month,Fiber optic,Yes,No,No,13.68,222.28,Bank transfer (automatic),562,0,5,0.761,No,7-24,Low,0
CUST00045,Male,0,No,40,Two year,Fiber optic,No,No,Yes,116.92,4688.76,Bank transfer (automatic),431,0,6,0.644,Yes,25-48,High,1
CUST00046,Male,0,Yes,21,One year,No,No,No,Yes,13.42,326.59,Mailed check,227,1,2,0.293,Yes,7-24,Low,1
CUST00047,Male,0,No,17,Month-to-month,No,No,Yes,Yes,77.54,1367.2,Credit card (automatic),45,0,7,0.369,No,7-24,Med-Low,0
