tenure,monthly_charges_cap,app_usage_min_per_week,complaint_count_6m,engagement_score,churn_flag,contract_One year,contract_Two year,internet_service_Fiber optic,internet_service_No,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,tenure_bucket_7-24,tenure_bucket_25-48,tenure_bucket_49+,monthly_charges_bin_Med-Low,monthly_charges_bin_Med-High,monthly_charges_bin_High
52,114.0,492,0,0.551,1,True,False,True,False,True,False,False,False,False,True,False,True,False
46,137.98,497,0,0.733,0,False,False,False,False,False,False,True,False,True,False,False,False,True
53,51.29,358,2,0.546,0,False,False,False,False,False,False,False,False,False,True,True,False,False
18,112.47,486,0,0.686,0,True,False,True,False,False,False,True,True,False,False,False,True,False
42,63.84,486,4,0.451,1,False,False,True,False,False,False,True,False,True,False,True,False,False
34,56.12,482,2,0.557,1,True,False,False,True,False,False,False,False,True,False,True,False,False
27,95.38,459,1,0.52,0,False,False,True,False,False,False,True,False,True,False,False,True,False
28,48.98,367,2,0.686,1,True,False,True,False,False,True,False,False,True,False,True,False,False
10,146.16,76,0,0.373,0,False,False,False,False,False,True,False,True,False,False,False,False,True
6,145.89,245,5,0.64,1,True,False,True,False,True,False,False,False,False,False,False,False,True
14,112.55,106,0,0.533,1,False,False,False,False,False,False,False,True,False,False,False,True,False
61,44.43,262,0,0.42,1,False,False,False,True,True,False,False,False,False,True,False,False,False
30,68.83,190,0,0.136,0,True,False,True,False,False,True,False,False,True,False,True,False,False
29,110.62,125,0,0.572,0,False,False,False,False,True,False,False,False,True,False,False,True,False
13,113.39,192,0,0.412,0,False,False,False,False,False,True,False,True,False,False,False,True,False
29,21.88,420,0,0.656,1,False,False,False,True,True,False,False,False,True,False,False,False,False
32,91.63,207,0,0.679,0,False,False,True,False,False,False,True,False,True,False,False,True,False
13,75.43,77,2,0.146,1,False,False,False,False,False,False,True,True,False,False,True,False,False
36,99.04,560,0,0.608,0,False,False,False,False,True,False,False,False,True,False,False,True,False
64,128.68,502,0,0.868,1,False,False,True,False,True,False,False,False,False,True,False,False,True
12,132.68,457,4,0.735,1,False,False,True,False,False,False,True,True,False,False,False,False,True
9,63.18,570,3,0.927,1,True,False,True,False,False,False,True,True,False,False,True,False,False
33,27.76,74,0,0.32,0,False,False,True,False,True,False,False,False,True,False,False,False,False
40,114.75,559,3,0.683,1,False,False,False,False,True,False,False,False,True,False,False,True,False
47,107.06,158,2,0.636,1,True,False,False,True,False,False,False,False,True,False,False,True,False
43,74.58,151,0,0.597,0,False,False,False,True,True,False,False,False,True,False,True,False,False
15,15.01,409,0,0.543,1,False,False,False,True,True,False,False,True,False,False,False,False,False
21,114.62,99,0,0.404,1,False,False,False,False,False,True,False,True,False,False,False,True,False
14,96.66,339,1,0.404,1,False,False,True,False,False,False,True,True,False,False,False,True,False
11,137.95,168,0,0.309,1,False,False,False,True,False,False,False,True,False,False,False,False,True
16,63.64,319,0,0.337,0,False,False,True,False,False,False,True,True,False,False,True,False,False
52,127.23,406,0,0.582,1,False,False,True,False,False,False,False,False,False,True,False,False,True
72,76.37,410,0,0.566,1,False,False,True,False,False,False,True,False,False,True,True,False,False
31,82.46,188,0,0.601,0,True,False,True,False,False,False,False,False,True,False,False,True,False
33,113.65,293,0,0.51,0,False,False,False,False,False,True,False,False,True,False,False,True,False
70,94.83,401,1,0.301,0,True,False,False,False,True,False,False,False,False,True,False,True,False
24,29.16,256,0,0.293,1,False,True,False,True,True,False,False,True,False,False,False,False,False
16,128.91,182,0,0.689,1,False,False,True,False,True,False,False,True,False,False,False,False,True
54,148.01,68,1,0.188,1,False,False,True,False,True,False,False,False,False,True,False,False,True
29,59.21,279,0,0.577,1,False,True,False,False,False,False,True,False,True,False,True,False,False
71,100.61,79,2,0.365,0,False,True,False,False,False,False,True,False,False,True,False,True,False
44,137.58,496,3,0.824,0,False,False,True,False,True,False,False,False,True,False,False,False,True
35,17.84,68,2,0.134,0,False,False,True,False,False,False,False,False,True,False,False,False,False
13,13.68,562,0,0.761,0,False,False,True,False,False,False,False,True,False,False,False,False,False
40,116.92,431,0,0.644,1,False,True,True,False,False,False,False,False,True,False,False,False,True
