tenure,monthly_charges_cap,app_usage_min_per_week,complaint_count_6m,engagement_score,contract_One year,contract_Two year,internet_service_Fiber optic,internet_service_No,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,tenure_bucket_7-24,tenure_bucket_25-48,tenure_bucket_49+,monthly_charges_bin_Med-Low,monthly_charges_bin_Med-High,monthly_charges_bin_High,churn_flag
2,19.13,482,1,0.582,False,False,True,False,False,False,True,False,False,False,False,False,False,1
69,91.05,318,0,0.679,False,True,True,False,True,False,False,False,False,True,False,True,False,0
70,15.79,24,0,0.619,True,False,False,False,False,True,False,False,False,True,False,False,False,0
3,148.35049999999998,156,0,0.147,False,False,True,False,True,False,False,False,False,False,False,False,True,1
47,71.97,392,1,0.671,False,False,False,False,False,False,False,False,True,False,True,False,False,0
2,52.6,9,0,0.141,True,False,False,False,False,True,False,False,False,False,True,False,False,1
17,144.32,399,0,0.549,False,False,True,False,False,False,False,True,False,False,False,False,True,0
72,110.39,153,1,0.608,True,False,False,True,False,False,False,False,False,True,False,True,False,0
26,55.69,289,0,0.377,False,False,False,False,False,False,True,False,True,False,True,False,False,0
27,117.78,303,0,0.468,False,True,True,False,True,False,False,False,True,False,False,False,True,1
24,28.21,271,2,0.388,False,True,True,False,False,False,True,True,False,False,False,False,False,0
27,137.23,139,4,0.696,False,False,True,False,False,False,True,False,True,False,False,False,True,0
2,80.17,470,0,0.816,False,False,True,False,False,False,True,False,False,False,True,False,False,0
67,137.81,223,3,0.532,False,False,True,False,True,False,False,False,False,True,False,False,True,1
34,29.07,144,1,0.686,False,False,False,False,True,False,False,False,True,False,False,False,False,0
53,140.99,32,3,0.036,False,False,True,False,True,False,False,False,False,True,False,False,True,1
26,131.27,85,0,0.237,False,False,True,False,True,False,False,False,True,False,False,False,True,1
47,61.74,467,5,0.979,False,False,False,True,False,True,False,False,True,False,True,False,False,1
52,121.33,598,1,0.927,True,False,True,False,False,False,True,False,False,True,False,False,True,0
52,113.6,294,0,0.514,False,False,False,False,False,False,False,False,False,True,False,True,False,0
67,17.28,460,0,0.5,True,False,False,False,False,False,True,False,False,True,False,False,False,0
17,109.94,110,0,0.349,False,False,False,True,False,False,False,True,False,False,False,True,False,1
34,135.63,243,0,0.328,False,False,True,False,False,True,False,False,True,False,False,False,True,0
69,68.18,425,0,0.574,False,False,False,False,False,False,True,False,False,True,True,False,False,1
58,35.11,207,0,0.629,False,False,False,True,True,False,False,False,False,True,False,False,False,1
21,77.3,314,1,0.452,False,False,True,False,True,False,False,True,False,False,True,False,False,0
14,144.37,235,2,0.486,False,False,True,False,False,False,True,True,False,False,False,False,True,1
29,56.42,45,0,0.437,False,False,False,True,False,False,True,False,True,False,True,False,False,0
42,78.18,530,0,0.839,False,True,False,False,False,False,True,False,True,False,True,False,False,0
9,40.57,324,0,0.378,False,False,False,False,True,False,False,True,False,False,False,False,False,0
22,29.72,57,0,0.316,False,False,True,False,False,False,False,True,False,False,False,False,False,1
5,27.13,38,0,0.189,False,False,False,False,False,False,True,False,False,False,False,False,False,0
8,127.63,570,0,0.985,False,False,False,False,False,False,True,True,False,False,False,False,True,0
16,21.86,405,1,0.398,False,False,False,True,False,False,False,True,False,False,False,False,False,1
58,69.86,200,0,0.734,True,False,False,True,False,False,True,False,False,True,True,False,False,0
28,52.01,425,0,0.496,True,False,True,False,True,False,False,False,True,False,True,False,False,0
70,65.84,29,0,0.181,True,False,True,False,True,False,False,False,False,True,True,False,False,1
25,44.93,582,2,0.594,False,False,False,True,False,False,False,False,True,False,False,False,False,0
5,132.41,492,2,0.982,True,False,True,False,False,True,False,False,False,False,False,False,True,1
62,88.35,421,0,0.924,True,False,True,False,False,False,True,False,False,True,False,True,False,1
62,131.14,488,2,0.486,False,False,False,False,False,True,False,False,False,True,False,False,True,1
19,46.54,49,2,0.03,True,False,True,False,False,False,True,True,False,False,True,False,False,1
4,29.55,140,1,0.228,False,True,False,True,False,False,True,False,False,False,False,False,False,1
40,86.08,284,3,0.47,False,False,False,True,False,False,True,False,True,False,False,True,False,1
5,109.92,23,0,0.473,False,False,True,False,True,False,False,False,False,False,False,True,False,0
15,145.62,485,2,0.506,False,False,False,False,True,False,False,True,False,False,False,False,True,1
67,57.44,305,2,0.519,False,False,False,False,False,False,True,False,False,True,True,False,False,0
4,25.38,240,4,0.33,False,True,False,True,False,True,False,False,False,False,False,False,False,0
49,32.21,355,0,0.444,False,False,False,True,True,False,False,False,False,True,False,False,False,0
42,111.44,127,0,0.581,False,False,True,False,False,False,True,False,True,False,False,True,False,1
24,119.41,471,0,0.615,False,False,False,False,False,True,False,True,False,False,False,False,True,0
10,101.05,384,1,0.492,True,False,False,True,False,False,True,True,False,False,False,True,False,0
72,37.02,60,5,0.207,False,False,True,False,False,False,False,False,False,True,False,False,False,0
45,144.09,306,0,0.521,True,False,False,False,False,False,True,False,True,False,False,False,True,0
43,85.04,488,1,0.656,False,False,True,False,False,False,True,False,True,False,False,True,False,0
28,115.06,397,0,0.774,False,False,False,False,False,False,True,False,True,False,False,True,False,1
18,57.87,482,0,0.65,False,True,False,False,False,False,False,True,False,False,True,False,False,0
66,72.24,362,3,0.476,False,False,True,False,False,False,True,False,False,True,True,False,False,0
64,25.62,596,1,1.072,False,False,True,False,True,False,False,False,False,True,False,False,False,0
5,110.25,493,1,0.467,False,False,False,True,False,True,False,False,False,False,False,True,False,1
12,74.46,351,3,0.738,False,False,True,False,False,False,False,True,False,False,True,False,False,1
18,112.47,486,0,0.686,True,False,True,False,False,False,True,True,False,False,False,True,False,0
10,140.76,85,0,0.361,False,False,True,False,False,True,False,True,False,False,False,False,True,0
3,52.91,482,0,0.64,False,False,False,True,True,False,False,False,False,False,True,False,False,1
54,56.08,528,0,0.518,True,False,False,False,False,True,False,False,False,True,True,False,False,0
62,30.61,247,0,0.517,False,False,False,False,True,False,False,False,False,True,False,False,False,1
6,131.15,296,0,0.431,False,False,True,False,False,False,True,False,False,False,False,False,True,1
67,30.98,80,0,0.084,False,False,False,False,False,True,False,False,False,True,False,False,False,1
43,127.52,403,0,0.729,False,False,True,False,False,True,False,False,True,False,False,False,True,0
39,143.13,546,0,0.728,False,False,True,False,False,False,True,False,True,False,False,False,True,0
14,22.11,200,0,0.286,False,False,False,False,False,True,False,True,False,False,False,False,False,0
33,64.93,166,0,0.169,True,False,True,False,False,False,False,False,True,False,True,False,False,1
54,73.56,61,0,0.244,True,False,False,False,True,False,False,False,False,True,True,False,False,0
0,28.46,292,0,0.545,False,False,False,False,False,False,True,False,False,False,False,False,False,0
67,35.21,64,0,0.564,True,False,False,False,False,False,True,False,False,True,False,False,False,0
56,148.35049999999998,567,1,0.759,False,False,True,False,False,True,False,False,False,True,False,False,True,1
19,148.35049999999998,223,0,0.552,False,False,False,False,False,False,True,True,False,False,False,False,True,1
32,41.99,284,0,0.5,False,False,True,False,False,False,True,False,True,False,False,False,False,0
65,23.49,101,0,0.569,True,False,False,False,False,False,False,False,False,True,False,False,False,1
69,124.99,315,0,0.687,False,False,False,True,False,False,True,False,False,True,False,False,True,0
33,23.24,193,0,0.42,False,True,False,True,False,False,True,False,True,False,False,False,False,1
42,105.8,540,0,0.728,False,False,True,False,False,True,False,False,True,False,False,True,False,0
49,35.12,287,3,0.556,False,True,False,True,False,False,True,False,False,True,False,False,False,0
19,69.89,180,2,0.483,True,False,True,False,False,True,False,True,False,False,True,False,False,0
40,59.03,207,0,0.337,False,True,False,False,False,False,False,False,True,False,True,False,False,0
60,72.32,231,0,0.721,False,False,False,False,False,False,False,False,False,True,True,False,False,0
29,79.74,488,0,0.77,True,False,False,False,False,True,False,False,True,False,True,False,False,0
54,115.11,417,0,0.499,False,True,True,False,False,True,False,False,False,True,False,True,False,0
61,35.47,289,0,0.398,False,False,False,False,False,False,True,False,False,True,False,False,False,1
45,65.7,539,0,0.702,True,False,False,False,False,True,False,False,True,False,True,False,False,0
43,27.87,239,3,0.574,False,True,False,False,False,False,True,False,True,False,False,False,False,0
8,142.16,8,1,0.282,False,False,True,False,False,True,False,True,False,False,False,False,True,1
67,100.15,568,3,0.62,False,True,True,False,True,False,False,False,False,True,False,True,False,0
46,43.08,533,0,0.765,False,True,False,False,False,False,False,False,True,False,False,False,False,0
55,48.68,30,1,0.276,False,True,False,True,True,False,False,False,False,True,True,False,False,0
30,90.75,344,1,0.683,False,False,True,False,True,False,False,False,True,False,False,True,False,0
67,110.21,581,3,0.862,False,False,False,True,False,False,False,False,False,True,False,True,False,0
4,124.36,600,1,0.767,False,False,False,False,False,False,True,False,False,False,False,False,True,0
71,83.86,268,1,0.683,False,False,True,False,False,True,False,False,False,True,False,True,False,0
44,112.96,35,0,0.513,True,False,False,True,False,True,False,False,True,False,False,True,False,1
